Spanish;PoS;English
farmacia;nf;pharmacy, drugstore
fármaco;nm;drug, medicine
fascinante;adj;fascinating
fascinar;v;to fascinate
fase;nf;phase, stage
fatal;adj;fateful, deadly, awful
fatiga;nf;fatigue
fauna;nf;fauna, wildlife
favor;nm;favor, benefit
favorable;adj;favorable, suitable
favorecer;v;to favor, help
favorito;adj;favorite
fe;nf;faith
febrero;nm;February
fecha;nf;date, day
federación;nf;federation
federal;adj;federal
felicidad;nf;happiness
felicitar;v;to congratulate
feliz;adj;happy, fortunate
femenino;adj;feminine, female
fenómeno;nm;phenomenon
feo;adj;ugly, nasty, rude
feria;nf;fair, festival
feroz;adj;ferocious, fierce
ferrocarril;nm;railway
festejar;v;to celebrate
festival;nm;festival
fibra;nf;fiber, grain
ficción;nf;fiction
ficha;nf;index card, chip, token
ficticio;adj;fictitious
fidelidad;nf;faithfulness, accuracy
fiebre;nf;fever, excitement
fiel;adj;faithful, loyal
fiesta;nf;party, feast
figura;nf;figure
figurar;v;to appear, represent, figure (in)
fijar;v;to set, fix, [se] notice
fijo;adj;fixed, steady
fila;nf;line, row, file
film;nm;film, movie
filo;nm;(cutting) edge
filosofía;nf;philosophy
filosófico;adj;philosophical
filósofo;nm;philosopher
filtrar;v;to seep, filter
filtro;nm;filter, screening
fin;nm;end, a f. de: in order to
final;nmf;al f.: finally, in the end
finalidad;nf;purpose, aim
finalizar;v;to end, finalize
finalmente;adv;finally, at last
financiación;nf;financing, funding
financiar;v;to finance
financiero;adj;financial
finanzas;nf;treasury, finances
finca;nf;property, estate
fingir;v;to feign, pretend
fino;adj;fine, delicate
firma;nf;company, signature, signing
firmar;v;to sign
firme;adj;firm, steady
firmeza;nf;firmness
fiscal;adj;fiscal, treasury
fiscal;nc;district attorney, prosecutor
fiscalía;nf;office of the public prosecutor
físicamente;adv;physically
físico;adj;physical
físico;nm/f;physicist
flaco;adj;thin, frail
flecha;nf;arrow, dart
flexible;adj;flexible
flor;nf;flower
flora;nf;flora
florecer;v;to flower, bloom, flourish
flota;nf;fleet
flotar;v;to float, flutter
fluir;v;to flow
flujo;nm;flow, tide, discharge
foco;nm;focus
fomentar;v;to foster, promote, encourage
fondo;nm;bottom, end
fondos;nm;funds
forestal;adj;forest
forma;nf;form, shape, way
formación;nf;formation, education
formal;adj;formal, polite
formar;v;to form
formato;nm;format, form
formidable;adj;formidable, tremendous
fórmula;nf;formula
formular;v;to formulate
foro;nm;forum
fortalecer;v;to fortify
fortaleza;nf;fortress, strength
fortuna;nf;fortune, fate
forzado;adj;forced, stiff
forzar;v;to force
foto;nf;photo, picture
fotografía;nf;photograph
fotográfico;adj;photographic
fotógrafo;nm/f;photographer
fracasar;v;to fail, be unsuccessful
fracaso;nm;failure, collapse
fracción;nf;fraction
frágil;adj;fragile, weak
fragmento;nm;fragment, passage
francamente;adv;frankly, openly
francés;adj;French
franco;adj;open, frank, outspoken
franja;nf;strip, stripe, fringe
frasco;nm;bottle, jar, flask
frase;nf;phrase
fraude;nm;fraud
frecuencia;nf;frequency
frecuentar;v;to frequent, visit
frecuente;adj;frequent
frecuentemente;adv;frequently, often
frenar;v;to brake, restrain
frente;adv;front
fresco;adj;cool, healthy, fresh
frío;adj;cold
frito;adj;fried
frontera;nf;border, frontier
fronterizo;adj;border
frotar;v;to rub, scrub
frustración;nf;frustration
frustrado;adj;frustrated
frustrar;v;to frustrate, prevent
fruta;nf;fruit
fruto;nm;fruit, result
fuego;nm;fire, gunfire
fuente;nf;source, fountain
fuera;adv;out, outside, away
fuerte;adj;strong
fuertemente;adv;strongly
fuerza;nf;strength, force, power
fuga;nf;flight, escape
fugaz;adj;fleeting, brief,
fumar;v;to smoke
función;nf;function, meeting
funcional;adj;functional
funcionamiento;nm;functioning, operation
funcionar;v;to work, function
funcionario;nm/f;civil servant
fundación;nf;foundation
fundador;nm/f;founder
fundamental;adj;fundamental
fundamentalmente;adv;fundamentally, basically
fundamentar;v;to base, found
fundamento;nm;foundation, ground
fundar;v;to found, base
fundir;v;to melt, cast, smelt
furia;nf;fury, rage
furioso;adj;furious
fusil;nm;gun, rifle
fusión;nf;fusion, union
fútbol;nm;soccer
futbolista;nm/f;soccer player
futuro;nm;future
gabinete;nm;cabinet, den, office
gala;nf;gala (performance/dinner)
galaxia;nf;galaxy
galería;nf;gallery, balcony
gallina;nf;hen, coward
gallo;nm;rooster
gama;nf;range, musical scale
ganador;nm/f;winner
ganancia;nf;gain, profit
ganar;v;to win, earn
ganas;nf;desire
garantía;nf;guarantee, warranty
garantizar;v;to guarantee
garganta;nf;throat, gorge
garra;nf;claw, fang
gas;nm;gas
gasolina;nf;gasoline
gastar;v;to spend (money)
gasto;nm;expense, expenditure
gastos;nm;expense, outlay,
gato;nm;cat
gemir;v;to moan, groan
gen;nm;gene
generación;nf;generation
general;adj;general
general;nm;general
generalizar;v;to generalize, popularize
generalmente;adv;generally, usually
generar;v;to generate
género;nm;sort, gender, genre
generoso;adj;generous
genético;adj;genetic
genial;adj;brilliant, inspired
genio;nm;genius, disposition
gente;nf;people
geografía;nf;geography
geográfico;adj;geographical
gerente;nm/f;manager, director
gestión;nf;management, step, negotiation
gestionar;v;to manage, handle
gesto;nm;gesture
gigante;nc;giant
gigantesco;adj;giant, gigantic
gira;nf;tour
girar;v;to rotate, revolve
giro;nm;turn, draft, expression
global;adj;global, overall
globo;nm;balloon, globe
gloria;nf;glory, fame
glorioso;adj;glorious
gobernación;nf;government, management
gobernador;nm;governor
gobernante;nc;ruler, leader
gobernar;v;to govern
gobierno;nm;government
gol;nm;goal
golfo;nm;gulf, bay
golpe;nm;hit, strike, punch
golpear;v;to hit, strike
goma;nf;rubber
gordo;adj;fat, thick
gota;nf;drop
gozar;v;to enjoy
grabación;nf;recording
grabar;v;to record, engrave
gracia;nf;(pl) thank you, grace, favor
gracias;interj;thanks, thank you
gracioso;adj;funny, charming, amusing
grado;nm;degree, grade
graduar;v;to adust, graduate
gráfico;adj;graphic, explicit
grande;adj;large, great, big
grandeza;nf;greatness, size
grano;nm;grain, kernel
grasa;nf;grease, fat
grato;adj;agreeable, pleasant
gratuito;adj;free, arbitrary, gratuitous
grave;adj;serious, solemn
gravedad;nf;seriousness, gravity
griego;adj;Greek
gris;adj;gray, gloomy
gritar;v;to shout
grito;nm;cry, shout, scream
grueso;adj;thick
grupo;nm;group
guante;nm;glove
guapo;adj;handsome, beautiful
guardar;v;to keep, save
guardia;nc;guard, watch, lookout
guardián;nm/f;guardian
guatemalteco;adj;Guatemalan
gubernamental;adj;governmental,
guerra;nf;war, warfare
guerrero;nm/f;warrior, soldier
guerrilla;nf;guerrilla
guía;nc;guide, leader
guiar;v;to guide, lead, steer
guión;nm;script, hyphen
guitarra;nf;guitar
gusano;nm;worm, caterpillar
gustar;v;to be pleasing to
gusto;nm;pleasure, taste, preference
haber;v;to have (+Ved)
hábil;adj;skillful, clever
habilidad;nf;ability, skill, talent
habitación;nf;room, bedroom, habitat
habitante;nm;inhabitant
habitar;v;to inhabit
hábito;nm;habit
habitual;adj;usual, habitual, customary
habitualmente;adv;habitually
habla;nf;(el) speech, talking
hablar;v;to speak, talk
hacer;v;to do, make
hacia;prep;toward, towards
hacienda;nf;ranch
hallar;v;to find (out)
hallazgo;nm;finding, discovery
hambre;nf;(el) hunger, starvation
harina;nf;flour
harto;adv;full, sick of
hasta;prep;until, up to, even (ADV)
hazaña;nf;deed, heroic feat
hecho;nm;fact, happening
hectárea;nf;hectare
helado;adj;iced, freezing, icy
helicóptero;nm;helicopter
hembra;nf;female, woman
heredar;v;to inherit
heredero;nm;heir, heiress
herencia;nf;inheritance, legacy
herida;nf;wound
herido;adj;wounded (person)
herir;v;to wound, hurt
hermana;nf;sister
hermano;nm;brother, [pl] siblings
hermoso;adj;beautiful, lovely
héroe;nm;hero
heroico;adj;heroic
herramienta;nf;tool
hervir;v;to boil
hidrógeno;nm;hydrogen
hielo;nm;ice
hierba;nf;herb, grass, weed
hierro;nm;iron
hígado;nm;liver
hija;nf;daughter
hijo;nm;son, [pl] children
hilera;nf;row, line
hilo;nm;thread, yarn, wire
himno;nm;hymn, anthem
hinchado;adj;swollen, pompous
hipótesis;nf;hypothesis
hispano;adj;Hispanic
hispanoamericano;adj;Hispano-American
historia;nf;history, story
historiador;nm/f;historian
histórico;adj;historical
hogar;nm;home, hearth
hoja;nf;sheet, leaf
hola;interj;hello, hi
holandés;adj;Dutch
hombre;nm;man, mankind, husband
hombro;nm;shoulder
homenaje;nm;homage, tribute
hondo;adj;deep
hondureño;adj;Honduran
honesto;adj;honest
hongo;nm;mushroom, fungus
honor;nm;honor, honesty
honrar;v;to honor
hora;nf;hour, time (specific)
horario;nm;schedule, timetable
horizontal;adj;horizontal
horizonte;nm;horizon
hormiga;nf;ant
hormona;nf;hormone
horno;nm;oven, furnace
horrible;adj;horrible
horror;nm;horror, atrocity
hospital;nm;hospital
hotel;nm;hotel
hoy;adv;today, nowadays
hueco;nm;hole, cavity
huelga;nf;strike, protest
huella;nf;trace, track, footstep
hueso;nm;bone
huésped;nc;guest, lodger
huevo;nm;egg
huir;v;to flee, run away
humanidad;nf;humanity, mankind
humano;adj;human
humedad;nf;humidity
húmedo;adj;humid, damp
humildad;nf;humility
humilde;adj;humble, modest
humillar;v;to humiliate
humo;nm;smoke
humor;nm;mood, humor
hundir;v;to sink, submerge
idea;nf;idea
ideal;adj;ideal, (goal)
idear;v;to devise, design
idéntico;adj;identical
identidad;nf;identity
identificación;nf;identification
identificar;v;to identify
ideología;nf;ideology
ideológico;adj;ideological
idioma;nm;(specific) language
idiota;nc;idiot, dunce
ídolo;nm;idol
iglesia;nf;church
ignorancia;nf;ignorance
ignorar;v;to be unaware
igual;adj;equal, same (as)
igualdad;nf;equality
igualmente;adv;equally
ilegal;adj;illegal
ilícito;adj;illicit, illegal
iluminación;nf;illumination, lighting
iluminado;adj;illuminated
iluminar;v;to illuminate, light up
ilusión;nf;illusion, hope, dream
ilustración;nf;illustration
ilustrar;v;to illustrate
ilustre;adj;renowned, illustrious
imagen;nf;image, picture
imaginación;nf;imagination, fantasy
imaginar;v;to imagine
imaginario;adj;imaginary
imitar;v;to imitate, copy, mimic
impaciencia;nf;impatience
impaciente;adj;impatient
impacto;nm;impact
impartir;v;to impart, administer
impecable;adj;impeccable, faultless
impedir;v;to prevent, hinder
imperial;adj;imperial, imperialist
imperio;nm;empire, fortune
implacable;adj;relentless, implacable
implantar;v;introduce, implant
implementar;v;to implement
implicar;v;to implicate, imply
imponer;v;to impose, enforce
importación;nf;import, importation
importancia;nf;importance
importante;adj;important
importar;v;to matter, import
imposible;adj;impossible
impotencia;nf;impotence
impregnar;v;to impregnate, permeate
imprescindible;adj;essential, indispensable
impresión;nf;impression, printing
impresionante;adj;impressive, astonishing
impresionar;v;to impress
imprimir;v;to print
improvisar;v;to improvise
impuestos;nm;taxes
impulsar;v;to push, promote, drive
impulso;nm;impulse, momentum
impunidad;nf;impunity
inauguración;nf;opening, inauguration
inaugurar;v;to inaugurate, start
incapacidad;nf;inability, incompetence
incapaz;adj;incapable
incendio;nm;fire, conflagration
incertidumbre;nf;uncertainty
incidencia;nf;ocurrence, impact
incidente;nm;incident
incidir;v;to influence, affect
incierto;adj;uncertain
inclinación;nf;slope, incline, tendency
inclinar;v;to bow, tilt, incline
incluir;v;to include
inclusión;nf;inclusion
inclusive;adv;including, even
incluso;adv;including, even (ADV)
incómodo;adj;uncomfortable
inconsciente;adj;unconscious, thoughtless
inconveniente;adj;inconvenience, drawback
incorporación;nf;inclusion, incorporation
incorporar;v;to incorporate, include
increíble;adj;incredible, unbelievable
incrementar;v;to increase
incremento;nm;increase, raise
independencia;nf;independence
independiente;adj;independent, self-sufficient
independientemente;adv;independently
indicación;nf;indication
indicador;nm;indicator, gauge
indicar;v;to indicate
índice;nm;index, forefinger
indicio;nm;indication, sign
indiferencia;nf;indifference
indiferente;adj;indifferent
indígena;adj;indigenous, native
indignar;v;to anger
indio;nm;Indian
indirecto;adj;indirect
indispensable;adj;indispensable, essential
individual;adj;individual
individuo;nm;individual, person
índole;nf;nature, temperament
inducir;v;to lead to
indudablemente;adv;doubtless, undoubtedly
industria;nf;industry, factory
industrial;adj;industrial
inesperado;adj;unexpected, unforeseen
inevitable;adj;inevitable, unavoidable
inexplicable;adj;unexplainable
infancia;nf;infancy, childhood
infantil;adj;of children, childlike, infantile
infección;nf;infection
infeliz;adj;unhappy, unfortunate
inferior;adj;lower, inferior
infierno;nm;hell, inferno
infinito;adj;infinite
inflación;nf;inflation
influencia;nf;influence
influir;v;to (have) influence
información;nf;information
informar;v;to inform
informático;adj;computer
informativo;adj;informative
informe;nm;report
infraestructura;nf;infrastructure
ingeniería;nf;engineering
ingeniero;nm/f;engineer
ingenio;nm;ingenuity, talent, wit
ingenuo;adj;naïve, ingenuous
inglés;adj;English
ingrediente;nm;ingredient
ingresar;v;to join, deposit, admit
ingreso;nm;entrance, admission, income
ingresos;nm;income, revenue
inicial;adj;initial
inicialmente;adv;initially
iniciar;v;to initiate, start
iniciativa;nf;initiative
inicio;nm;beginning, start
injusticia;nf;injustice
injusto;adj;unfair, unjust
inmediatamente;adv;immediately
inmediato;adj;immediate
inmenso;adj;immense, vast, huge
inmigrante;nc;immigrant
inminente;adj;imminent
inmóvil;adj;immovable, motionless
innecesario;adj;unnecessary
innovación;nf;innovation
innumerable;adj;innumerable, countless
inocencia;nf;innocence
inocente;adj;innocent, naïve
inolvidable;adj;unforgettable
inquietar;v;to make uneasy, disturb
inquieto;adj;restless, anxious
inquietud;nf;restlessness, anxiety
inscribir;v;to register, record
inscripción;nf;inscription, registration
insecto;nm;insect
inseguridad;nf;insecurity
insertar;v;to insert, put in
insignificante;adj;insignificant
insinuar;v;to insinuate, hint
insistencia;nf;insistence, persistence
insistir;v;to insist on
insólito;adj;unusual, uncommon
insoportable;adj;unbearable, intolerable
inspector;nm/f;inspector
inspiración;nf;inspiration, inhalation
inspirar;v;to inspire, inhale
instalación;nf;installation, facilities
instalar;v;to install
instancia;nf;instance
instante;nm;instant, moment
instinto;nm;instinct
institución;nf;institution
institucional;adj;institutional
instituto;nm;institute
instrucción;nf;instruction
instrumento;nm;instrument
insuficiente;adj;insufficient
insultar;v;to insult, berate
insulto;nm;insult
intacto;adj;intact
integración;nf;integration
integral;adj;comprehensive, integral, built-in
integrar;v;to integrate, fit in
integridad;nf;integrity
intelectual;adj;intellectual
inteligencia;nf;intelligence
inteligente;adj;intelligent
intención;nf;intention
intensidad;nf;intensity, force
intenso;adj;intense, acute
intentar;v;to try, attempt
intento;nm;attempt, try
interacción;nf;interaction
intercambiar;v;to exchange
intercambio;nm;exchange, interchange
interés;nm;interest
interesado;adj;(self-) interested
interesante;adj;interesting
interesar;v;to interest
interior;nm;interior, inside
intermedio;adj;interim, intermediate
interminable;adj;endless, interminable
internacional;adj;international
internar;v;to confine
Internet;nm;Internet
interno;adj;internal
interpretación;nf;interpretation, interpreting
interpretar;v;to interpret
intérprete;nc;performer, interpreter
interrogar;v;to question, interrogate
interrumpir;v;to interrupt
interrupción;nf;interruption
intervalo;nm;interval, gap
intervención;nf;intervention
intervenir;v;to intervene
intimidad;nf;private life, intimacy
íntimo;adj;close, intimate
introducción;nf;introduction
introducir;v;to introduce, bring in
intuición;nf;intuition
intuir;v;to sense
inundación;nf;flood, deluge
inundar;v;to flood, inundate
inútil;adj;useless
invadir;v;to invade, overcome
invasión;nf;invasion
invención;nf;invention, contrivance
inventar;v;to invent, make up
invento;nm;invention
inversión;nf;investment, outlay
invertir;v;to invest
investigación;nf;investigation
investigador;nm/f;researcher, investigator
investigar;v;to investigate
invierno;nm;winter
invisible;adj;invisible
invitación;nf;invitation
invitado;nm;guest
invitar;v;to invite
invocar;v;to invoke
involucrar;v;to involve
ir;v;to go
ira;nf;rage, wrath
irlandés;adj;Irish
ironía;nf;irony
irónico;adj;ironic, mocking
irregular;adj;irregular
irregularidad;nf;irregularity
irritar;v;to irritate
isla;nf;island
islámico;adj;Islamic
italiano;adj;Italian
izquierda;nf;left
izquierdo;adj;left (opposite of right)
jabón;nm;soap
jaja;interj;ha ha
jamás;adv;never
japonés;adj;Japanese
jardín;nm;garden
jaula;nf;cage, crate, playpen
jefe;nm/f;leader, boss, manager
jerarquía;nf;hierarchy, rank
jinete;nm;rider, horseman
joder;v;to f**k, screw (around/up)
jornada;nf;(working) day, shift
joven;nc;teenager, young person
joya;nf;jewel, treasure
judicial;adj;judicial
judío;nm/f;Jew
juego;nm;game, play, sport
jueves;nm;Thursday
juez;nc;judge
jugada;nf;move, play
jugador;nm/f;player, gambler
jugar;v;to play (sport/game)
jugo;nm;juice
juguete;nm;toy
juicio;nm;judgment
julio;nm;July
junio;nm;June
junta;nf;meeting, conference, seam
juntar;v;to bring together
junto;adj;together
jurado;nm/f;jury, juror
jurar;v;to swear, take an oath
jurídico;adj;legal, juridical
jurisdicción;nf;jurisdiction
justamente;adv;just, exactly
justicia;nf;justice, fairness
justificación;nf;justification
justificar;v;to justify, excuse
justo;adv;just
justo;adj;fair, just
juvenil;adj;young, juvenile
juventud;nf;youth
juzgado;nm/f;court, tribunal, judge
juzgar;v;to judge
kilo;nm;kilogram
kilómetro;nm;kilometer
la;pron;[rd person] (dir obj-f)
laberinto;nm;maze, labyrinth
labio;nm;lip
labor;nf;labor, work, task
laboral;adj;labor, industry
laboratorio;nm;laboratory
lado;nm;side
ladrillo;nm;brick
ladrón;nm/f;thief
lago;nm;lake
lágrima;nf;tear, teardrop
laguna;nf;lagoon
lamentable;adj;regrettable
lamentablemente;adv;regrettably
lamentar;v;to regret
lamento;nm;lament, moan
lámina;nf;sheet (of metal)
lámpara;nf;lamp
lana;nf;wool
lanzamiento;nm;launch, release
lanzar;v;to throw, launch
lápiz;nm;pencil
largar;v;to let go, start out
largo;adj;long
largo;nm;a lo l.: throughout, length
lástima;nf;shame, pity
lastimar;v;to hurt, damage
lata;nf;(tin) can
lateral;adj;side, lateral
latín;nm;Latin
latino;adj;Latin
latinoamericano;adj;Latin American
latir;v;to beat (heart)
lavar;v;to wash
lazo;nm;bow, knot, tie, lasso
le;pron;[rd person] (indir obj)
lealtad;nf;loyalty, faithfulness
lección;nf;lesson
leche;nf;milk
lecho;nm;(river) bed, couch
lector;nm;reader, lecturer
lectura;nf;reading
leer;v;to read
legal;adj;legal
legalmente;adv;legally
legislación;nf;legislation
legislador;nm/f;legislator
legislativo;adj;legislative
legítimo;adj;legitimate
lejano;adj;distant
lejos;adv;far (away, off)
leña;nf;firewood
lengua;nf;language, tongue, strip (of land)
lenguaje;nm;language, speech
lentamente;adv;slowly
lente nmf lens, [pl] glasses
lentitud;nf;slowness
lento;adj;slow
león;nm;lion
lesión;nf;injury, wound, harm
letra;nf;letter, handwriting, lyrics
levantar;v;to raise, lift
leve;adj;slight, trifling, light
ley;nf;law, bill, rule
leyenda;nf;legend
liberación;nf;liberation
liberal;adj;liberal
liberar;v;to free, liberate
libertad;nf;freedom, liberty
libra;nf;pound (money/weight)
librar;v;to liberate, set free
libre;adj;free, vacant
libremente;adv;freely
librería;nf;bookstore
libro;nm;book
licencia;nf;license, permission
licenciado;nm/f;graduate, lawyer
licenciar;v;to license, discharge
liceo;nm;high school
líder;nc;leader
liderar;v;to lead, head
liderazgo;nm;leadership
lienzo;nm;canvas, painting
liga;nf;league, elastic band
ligar;v;to tie, link, bind
ligeramente;adv;slightly, lightly
ligero;adj;light (in weight), slight
limitación;nf;limitation
limitado;adj;limited
limitar;v;to limit
límite;nm;limit
limón;nm;lemon, lime
limpiar;v;to clean
limpieza;nf;cleanliness, purity
limpio;adj;clean
lindo;adj;pretty, nice, lovely
línea;nf;line, course
lingüístico;adj;linguistic
lío;nm;mess, problem, bad situation
líquido;nm;liquid
liso;adj;smooth, flat, straight
lista;nf;list, roster, roll
listo;adj;ready, clever, smart
literalmente;adv;literally
literario;adj;literary
literatura;nf;literature
litro;nm;liter
liviano;adj;light, frivolous
llama;nf;flame, llama
llamada;nf;call, knock
llamado;nm;call, calling
llamar;v;to call, name
llamativo;adj;striking
llano;adj;flat, level, plain
llanto;nm;crying, weeping
llanura;nf;plain, prairie, plainness
llave;nf;key, faucet, wrench
llegada;nf;arrival
llegar;v;to arrive
llenar;v;to fill
lleno;adj;full, filled
llevar;v;to take, carry
llorar;v;to cry
llover;v;to rain
lluvia;nf;rain
lo;art;the (+neut)
lo;pron;[rd person] (dir obj-m)
lobo;nm;wolf
local;adj;local
localidad;nf;town, locality
localizar;v;to locate, find, localize
loco;adj;crazy, insane
locura;nf;madness, insanity
lógica;nf;logic
lógicamente;adv;logically
lógico;adj;logical
lograr;v;to achieve, get, manage
logro;nm;success, achievement
lomo;nm;back, loin, spine
longitud;nf;length, longitude
lucha;nf;fight, struggle, wrestle
luchar;v;to fight, wrestle
lucir;v;to show (off), shine
luego;adv;later, afterwards
lugar;nm;place, position
lujo;nm;luxury
luminoso;adj;bright, luminous
luna;nf;moon
lunes;nm;Monday
luz;nf;light
macho;nm;male, manliness
madera;nf;wood
madre;nf;mother
madrileño;adj;from Madrid
madrugada;nf;dawn, daybreak
madurar;v;to mature, ripen
madurez;nf;maturity, ripeness
maduro;adj;mature, ripe
maestría;nf;skill, mastery
maestro;nm/f;teacher (m), master
magia;nf;magic
mágico;adj;magic, magical
magistrado;nm/f;judge, magistrate
magnético;adj;magnetic
magnífico;adj;magnificent, splendid
magnitud;nf;magnitude, extent
mago;nm/f;magician, wizard
maíz;nm;corn, maize
mal;adv;badly
mal;nm;evil
maldad;nf;evil, wickedness
maldecir;v;to curse, insult
malestar;nm;discomfort, unease, unrest
maleta;nf;suitcase, case
malo;adj;bad
mamá;nf;mom
mamífero;nm;mammal
mañana;nf;morning, tomorrow
mañana;adv;tomorrow
mancha;nf;stain, spot
manchado;adj;stained, dirty
mandar;v;to send, order
mandato;nm;mandate, order, command
mando;nm;command, authority
manejar;v;to drive, handle
manejo;nm;handling, management
manera;nf;way, manner
manga;nf;sleeve
mango;nm;handle, mango
manifestación;nf;protest, manifestation
manifestar;v;to express, show
manifiesto;nm;poner de m.: to show
maniobra;nf;maneuver, operation
manipulación;nf;handling, manipulation
manipular;v;to manipulate, handle
mano;nf;hand
manta;nf;blanket
mantener;v;to keep, maintain
mantenimiento;nm;maintenance, sustenance
manto;nm;cloak
manual;nm;manual, handbook
manual;adj;manual
manuscrito;nm;manuscript
manzana;nf;apple, (city) block
mapa;nm;map
maquillaje;nm;makeup
máquina;nf;machine
maquinaria;nf;machinery
mar;nmf;sea
maravilla;nf;wonder, marvel
maravilloso;adj;wonderful, marvelous
marca;nf;mark, brand, trademark
marcador;nm;sign, scoreboard
marcar;v;to mark, note, dial
marcha;nf;march, progress
marchar;v;to go, leave, march
marco;nm;frame, mark, setting
marea;nf;wave, tide, ebb
margen;nmf;edge, margin, border, brink
marido;nm;husband
marino;adj;marine, naval
mariposa;nf;butterfly, wing nut
marítimo;adj;maritime, marine
mármol;nm;marble
martes;nm;Tuesday
marzo;nm;March
mas;conj;but, however
más;adj;more
masa;nf;mass, dough, bulk, crowd
máscara;nf;mask
masculino;adj;masculine, manly, male
masivo;adj;mass, massive
matar;v;to kill
matemática;nf;mathematics
matemático;adj;mathematical
materia;nf;matter, subject
material;nm;material, element
material;adj;material
materno;adj;maternal
matiz;nm;shade, tint, nuance
matrimonio;nm;marriage, married couple
máximo;adj;maximum
mayo;nm;May
mayor;adj;larger, older, main
mayoría;nf;majority
me;pron;me (obj)
mecánica;nf;mechanics, mechanism
mecánico;adj;mechanical
mecanismo;nm;mechanism
medalla;nf;medal, medallion
media;nf;average, a m.: halfways
mediado;adj;mid, middle
mediano;adj;average, medium, ordinary
medianoche;nf;midnight
mediante;prep;by means of
medicamento;nm;medicine, drug
medicina;nf;medicine
medición;nf;measurement
médico;nm/f;doctor
médico;adj;medical
medida;nf;measure, a m. que: to the extent
medieval;adj;medieval
medio;adj;half, middle
mediocre;adj;mediocre
mediodía;nm;noon, midday
medios;nm;means, resources
medir;v;to measure
meditación;nf;meditation
meditar;v;to meditate, ponder
mediterráneo;adj;Mediterranean
mejilla;nf;cheek
mejor;adj;best, better (ADV)
mejora;nf;improvement
mejorar;v;to improve, get better
melancolía;nf;melancholy, depression
melancólico;adj;melancholy
melodía;nf;melody
memoria;nf;memory
mención;nf;mention
mencionar;v;to mention, cite
menor;adj;younger, youngest
menos;adj;less, fewer
mensaje;nm;message
mensual;adj;monthly
mental;adj;mental
mentalidad;nf;mindset, mind
mente;nf;mind
mentir;v;to (tell a) lie
mentira;nf;lie
menú;nm;menu
menudo;adv;a m.: often
mercado;nm;market
mercancía;nf;goods, merchandise
merced;nf;favor, mercy
merecer;v;to deserve, be worthy (of)
meridional;adj;southern
mérito;nm;worth, merit
mero;adj;mere
mes;nm;month
mesa;nf;table, board
meta;nf;goal, aim, purpose
metáfora;nf;metaphor
metal;nm;metal
metálico;adj;metallic
meter;v;to put (into)
método;nm;method
metodología;nf;methodology, method
metro;nm;meter, subway
mexicano;adj;Mexican
mezcla;nf;mixture, blend
mezclar;v;to mix
mi;adj;my
mí;pron;me (obj prep)
miedo;nm;fear
miel;nf;honey
miembro;nm;member, limb
mientras;conj;while, whereas, as long as
miércoles;nm;Wednesday
mierda;nf;shit, crap, excrement
migración;nf;migration
mil;num;thousand
milagro;nm;miracle
milenio;nm;millennium
militante;nc;member, militant
militar;adj;military
millón;num;million, fortune
millonario;nm/f;millionaire
mina;nf;mine
mineral;nm;mineral, ore
minería;nf;mining
minero;adj;mining
mínimo;adj;minimum
ministerio;nm/f;ministry
ministro;nm/f;(government) secretary, minister
minoría;nf;minority
minúsculo;adj;minute, insignificant
minuto;nm;minute
mío;pron;mine
mirada;nf;gaze, look
mirar;v;to look, watch
misa;nf;(religious) Mass
miserable;adj;wretched, miserable
miseria;nf;misery, wretchedness
misericordia;nf;compassion, mercy
misión;nf;mission, task
mismo;adj;same
misterio;nm;mystery
misterioso;adj;mysterious
mitad;nf;half, middle
mito;nm;myth
mixto;adj;mixed, co-ed
moda;nf;fashion, form
modalidad;nf;mode, manner
modelo;nc;model, pattern
moderado;adj;moderate, mild
moderno;adj;modern
modesto;adj;modest, humble
modificación;nf;modification, alteration
modificar;v;to modify
modo;nm;way, manner, de m. que: so that
mojado;adj;wet
mojar;v;to make wet, dampen
molde;nm;mold, cast, pattern
molécula;nf;molecule
molecular;adj;molecular
molestar;v;to bother, disturb, upset
molestia;nf;bother, nuisance, trouble
molesto;adj;annoyed, bothered, upset
momento;nm;moment, time
monarca;nm;monarch
monarquía;nf;monarchy,
monasterio;nm;monastery, convent
moneda;nf;coins, currency
monetario;adj;monetary,
monja;nf;nun
mono;nm;monkey
monopolio;nm;monopoly
monstruo;nm;monster, monstrosity
montaje;nm;assembly, staging
montaña;nf;mountain
montañoso;adj;mountainous
montar;v;to ride, mount, assemble
monte;nm;mountain
montón;nm;lot of, heap, pile
monumental;adj;monumental
monumento;nm;monument
moral;adj;moral
morder;v;to bite
moreno;adj;dark, brown
morir;v;to die
mortal;adj;mortal, lethal, deadly
mosca;nf;fly (insect)
mostrador;nm;counter, desk
mostrar;v;to show
motivación;nf;motivation
motivar;v;to motivate, cause
motivo;nm;motive, cause
moto;nf;motorcycle
motor;nm;engine, motor
mover;v;to move, incite
móvil;adj;mobile
movilidad;nf;mobility, movement
movilización;nf;mobilization
movilizar;v;to mobilize
movimiento;nm;movement
mozo;nm;waiter, youth, bellboy
muchacha;nf;girl
muchacho;nm;boy
mucho;adj;much, many, a lot (ADV)
mudar;v;to move, change
mudo;adj;mute, silent
mueble;nm;(piece of) furniture
mueca;nf;face, grimace
muerte;nf;death
muerto;adj;dead
muestra;nf;proof, sample, sign
